"id","comment_text","toxic"
"c001","you are dumb",1
"c002","you are so dumb",1
"c003","you are stupid",1
"c004","you are so stupid",1
"c005","you are an idiot",1
"c006","you are such an idiot",1
"c007","you are ugly",1
"c008","you are so ugly",1
"c009","you are worthless",1
"c010","you are pathetic",1
"c011","you are a loser",1
"c012","you are a failure",1
"c013","you are trash",1
"c014","you are garbage",1
"c015","you are disgusting",1
"c016","you are annoying",1
"c017","you are so annoying",1
"c018","you are a waste of space",1
"c019","you are a waste of time",1
"c020","you are nobody",1
"c021","you are nothing",1
"c022","you are so fat",1
"c023","you are fat and ugly",1
"c024","you are a joke",1
"c025","you are embarrassing",1
"c026","you are a moron",1
"c027","you are such a moron",1
"c028","you are a clown",1
"c029","you are brainless",1
"c030","you are hopeless",1
"c031","you are useless",1
"c032","you are so useless",1
"c033","you are terrible",1
"c034","you are the worst",1
"c035","you are a bad person",1
"c036","you are selfish",1
"c037","you are toxic",1
"c038","you make me sick",1
"c039","you disgust me",1
"c040","you are so fake",1
"c041","you are fake",1
"c042","you are a liar",1
"c043","you always lie",1
"c044","you never do anything right",1
"c045","nobody likes you",1
"c046","everyone hates you",1
"c047","no one cares about you",1
"c048","go away",1
"c049","just leave",1
"c050","get lost",1
"c051","shut up",1
"c052","shut your mouth",1
"c053","shut your face",1
"c054","drop dead",1
"c055","go to hell",1
"c056","i hate you",1
"c057","i hate you so much",1
"c058","i despise you",1
"c059","i cant stand you",1
"c060","you are so irritating",1
"c061","stop being so stupid",1
"c062","what is wrong with you",1
"c063","are you that dumb",1
"c064","you must be joking",1
"c065","you are beyond stupid",1
"c066","you have no brain",1
"c067","you have no friends",1
"c068","you have no life",1
"c069","get out of here",1
"c070","get out of my face",1
"c071","stop talking to me",1
"c072","leave me alone you idiot",1
"c073","you are an embarrassment",1
"c074","you are so childish",1
"c075","grow up you idiot",1
"c076","you are always wrong",1
"c077","you are never right",1
"c078","i will destroy you",1
"c079","i will hurt you",1
"c080","i will make you pay",1
"c081","you will regret this",1
"c082","you better watch out",1
"c083","watch your back",1
"c084","i am going to ruin you",1
"c085","go kill yourself",1
"c086","just kill yourself",1
"c087","you should not exist",1
"c088","the world is better without you",1
"c089","you are such a loser",1
"c090","what a loser you are",1
"c091","you are a complete idiot",1
"c092","you are absolutely stupid",1
"c093","you are dumb as a rock",1
"c094","you are brain dead",1
"c095","you are mentally slow",1
"c096","you are a complete failure",1
"c097","you failed again idiot",1
"c098","you are such a disappointment",1
"c099","you disappoint everyone",1
"c100","you are a terrible person",1
"c101","you are evil",1
"c102","you are a monster",1
"c103","you are cruel",1
"c104","you are heartless",1
"c105","you are cold and mean",1
"c106","you are a bully",1
"c107","stop bullying me",1
"c108","you always bully people",1
"c109","you are so mean",1
"c110","you are really mean",1
"c111","that was really mean",1
"c112","you are rude",1
"c113","you are so rude",1
"c114","you are extremely rude",1
"c115","you are disrespectful",1
"c116","you have no respect",1
"c117","you have no manners",1
"c118","you are nasty",1
"c119","you are so nasty",1
"c120","you are vile",1
"c121","you are despicable",1
"c122","you are a rat",1
"c123","you are a snake",1
"c124","you are two faced",1
"c125","you are a backstabber",1
"c126","i cannot believe how dumb you are",1
"c127","how can someone be so stupid",1
"c128","you are the dumbest person i know",1
"c129","you are the worst person ever",1
"c130","i wish you would just disappear",1
"c131","you ruin everything",1
"c132","you always ruin everything",1
"c133","everything is your fault",1
"c134","you are to blame for this",1
"c135","this is all your fault",1
"c136","you are a complete waste",1
"c137","talking to you is pointless",1
"c138","you are not worth my time",1
"c139","you are beneath me",1
"c140","you are inferior",1
"c141","you are weak",1
"c142","you are so weak",1
